id,topic,source,q,opts,ans_idx,exp,category,category_icon,is_active
28,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,Melanocyte activity declines by approximately what amount per decade after age 30?,"[""1–2%"",""10–20%"",""50%"",""No decline occurs""]",1,"This decline in pigment-producing cells is part of normal skin ageing, contributing to greying and reduced sun protection with age.",Mixed Revision,📚,true
29,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,The dermis contains all of the following EXCEPT:,"[""Blood vessels"",""Nerve endings"",""Hair follicles"",""Keratinocytes""]",3,"Keratinocytes are found in the epidermis, not the dermis — the dermis instead holds vessels, nerves, follicles, and glands.",Mixed Revision,📚,true
30,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,The two sub-layers of the dermis are the:,"[""Papillary and reticular"",""Basale and corneum"",""Superficial and deep fascia"",""Granulosum and lucidum""]",0,"The papillary layer (loose connective tissue, upper) and reticular layer (dense connective tissue, deeper) make up the dermis.",Mixed Revision,📚,true
31,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,Total body weight contributed by the skin is approximately:,"[""1–2%"",""12–15%"",""25%"",""40%""]",1,"At 4.5–5kg, the skin makes up roughly 12–15% of an adult's total body weight.",Mixed Revision,📚,true
32,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,"With intrinsic (natural) ageing, the dermis loses approximately what percentage of its thickness?","[""5%"",""20%"",""50%"",""80%""]",1,"The dermis thins by roughly a fifth as part of the normal, non-sun-related ageing process.",Mixed Revision,📚,true
33,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,The total surface area of adult human skin is approximately:,"[""0.5m²"",""2m²"",""5m²"",""10m²""]",1,Roughly 2 square metres — about the size of a small blanket — covers the average adult body.,Mixed Revision,📚,true
34,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,"Using the memory device 'Bad Skin Gets Lighter Constantly', the epidermal layers from DEEPEST to most SUPERFICIAL are:","[""Corneum, Lucidum, Granulosum, Spinosum, Basale"",""Basale, Spinosum, Granulosum, Lucidum, Corneum"",""Spinosum, Basale, Corneum, Lucidum, Granulosum"",""Granulosum, Basale, Spinosum, Corneum, Lucidum""]",1,"New cells are born at the base (basale) and get pushed upward and outward through spinosum, granulosum, lucidum (thick skin only), and finally corneum, where they are shed.",Mixed Revision,📚,true
35,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,"The stratum corneum, the outermost epidermal layer, is mainly made up of:","[""Living, actively dividing cells"",""Dead, flattened, keratin-filled cells"",""Blood vessels"",""Nerve endings""]",1,"By the time cells reach the surface layer, they have died and filled with tough keratin protein, forming a protective, waterproof outer layer.",Mixed Revision,📚,true
36,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,The stratum basale (deepest epidermal layer) is significant because it:,"[""Contains no living cells"",""Is where new skin cells are continuously produced"",""Is only found in thick skin"",""Is the layer responsible for sweating""]",1,This is the 'production line' layer where new keratinocytes are constantly generated to replace cells lost at the surface.,Mixed Revision,📚,true
37,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,The epidermis receives its nutrients via:,"[""Its own dedicated blood vessels"",""Diffusion from the dermis below"",""Direct absorption from the external environment"",""The subcutaneous fat layer only""]",1,"Since the epidermis has no blood vessels of its own, nutrients and oxygen must diffuse upward from the vascular dermis beneath it.",Shock & Haemorrhage,⚡,true
38,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,Which skin appendage structures are found in the dermis?,"[""Hair follicles and glands"",""Keratinocytes only"",""Melanocytes only"",""The stratum corneum""]",0,"Hair follicles, sweat glands, and sebaceous glands all originate in the dermis, even though parts of them extend up through the epidermis.",Mixed Revision,📚,true
39,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,Palms and soles are examples of:,"[""Thin skin"",""Thick skin"",""Mucous membrane"",""Non-keratinised skin""]",1,"These high-friction, weight-bearing areas have thick skin with an extra layer (stratum lucidum) for added durability.",Mixed Revision,📚,true
40,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,The primary function of melanocytes in the skin is to:,"[""Produce keratin"",""Produce pigment (melanin) for UV protection"",""Sense touch and pressure"",""Regulate body temperature directly""]",1,"Melanocytes make melanin, the pigment that helps protect deeper skin layers from UV radiation damage.",Mixed Revision,📚,true
41,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,A burn injury is best defined as:,"[""Liquefactive necrosis"",""Coagulative necrosis"",""Caseous necrosis"",""Fat necrosis""]",1,Heat denatures/cooks tissue proteins — this specific process is coagulative necrosis.,Burns & Trauma,🔥,true
42,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,"The burn zone that is the main target of treatment, since it may still be saved, is the:","[""Zone of coagulation"",""Zone of stasis"",""Zone of hyperaemia"",""Zone of necrosis""]",1,The centre is already dead and the outer zone heals alone — the middle zone can go either way depending on care quality.,Burns & Trauma,🔥,true
43,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,"Using the Rule of Nines, each arm accounts for:","[""4.5%"",""9%"",""18%"",""1%""]",1,Each whole arm is 9% of total body surface area.,Burns & Trauma,🔥,true
44,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,"Using the Parkland formula for a 70kg patient with 40% TBSA, total 24-hour fluid required is:","[""2,800ml"",""5,600ml"",""11,200ml"",""16,800ml""]",2,"4 × 70 × 40 = 11,200ml, split half in the first 8 hours and half over the next 16.",Burns & Trauma,🔥,true
45,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,Systemic burn shock risk begins above what %TBSA?,"["">5%"","">10%"","">20%"","">50%""]",2,"Beyond 20% TBSA, inflammation becomes whole-body rather than local.",Burns & Trauma,🔥,true
46,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,The leading cause of death in burns patients after 48 hours is:,"[""Hypovolaemic shock"",""Sepsis"",""Airway obstruction"",""Electrolyte imbalance""]",1,The open burn wound becomes an entry point for bacteria once the acute fluid-shift phase has passed.,Respiratory,🫁,true
47,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,The Curreri formula for nutritional requirements in burns patients is:,"[""25kcal×kg + 40kcal×%TBSA"",""10kcal×kg only"",""4ml×kg×%TBSA"",""2000kcal fixed daily""]",0,This formula accounts for both baseline needs (per kg) and the extra hypermetabolic demand created by the burn itself (per %TBSA).,Burns & Trauma,🔥,true
48,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,The target urine output in an adult burns patient during fluid resuscitation is:,"[""0.1–0.2ml/kg/hr"",""0.5–1.0ml/kg/hr"",""2–3ml/kg/hr"",""5ml/kg/hr""]",1,"Urine output is the most practical bedside marker of adequate fluid resuscitation, and 0.5–1.0ml/kg/hr is the target range in adults.",Burns & Trauma,🔥,true
49,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,Wound care in major burns is typically initiated within:,"[""1–2 hours"",""24–72 hours"",""1 week"",""1 month""]",1,"Wound care begins once the patient is stabilised from the initial resuscitation phase, generally within this window.",Burns & Trauma,🔥,true
50,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,Front of trunk (chest + abdomen) accounts for what percentage of TBSA under the Rule of Nines?,"[""9%"",""18%"",""27%"",""36%""]",1,"The front of the trunk is counted as 18%, matching the back of the trunk, also 18%.",Burns & Trauma,🔥,true
51,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,The two drugs used together to manage the hypermetabolic response in burns are:,"[""Propranolol and oxandrolone"",""Adrenaline and atropine"",""Insulin and glucagon"",""Furosemide and spironolactone""]",0,"A beta-blocker (propranolol) reduces the hyperdynamic cardiovascular response, while an anabolic steroid (oxandrolone) helps counter the muscle-wasting hypermetabolic state.",Burns & Trauma,🔥,true
52,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,DVT prophylaxis in burns patients typically includes:,"[""Aspirin only"",""LMWH plus compression stockings"",""Warfarin only"",""No prophylaxis is used""]",1,Low molecular weight heparin combined with mechanical compression reduces the clot risk that comes with immobility and the inflammatory state of a major burn.,Burns & Trauma,🔥,true
53,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,Special areas of the body that require CCU-level attention in burns include all of the following EXCEPT:,"[""Face"",""Hands and feet"",""Perineum and genitalia"",""Upper back""]",3,"Face, hands, feet, perineum, genitalia, and joints are the specific 'special areas' due to functional/cosmetic risk — general upper back is not singled out in the same way.",Burns & Trauma,🔥,true
54,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,"In modern burns care, mortality for a 50% TBSA burn has fallen to approximately:","[""50%"",""30%"",""10%"",""0%""]",2,"Advances in fluid resuscitation, wound care, and critical care have dramatically improved survival compared to roughly 25 years ago, when mortality at this size of burn was around 50%.",Burns & Trauma,🔥,true
55,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,The incidence of burns in the general population is approximately:,"[""1.3 per 1,000"",""13.5 per 1,000"",""135 per 1,000"",""1,350 per 1,000""]",1,This is the commonly cited population incidence figure for burn injuries.,Burns & Trauma,🔥,true
56,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,The group most commonly affected by burns is:,"[""Elderly women"",""Males aged 21–40 years"",""Infants under 1 year only"",""Females aged 60–80 years""]",1,Economically active young to middle-aged men are the group most frequently affected by burns.,Burns & Trauma,🔥,true
57,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,The basal metabolic rate (BMR) in a major burns patient can increase by:,"[""10–20%"",""100–200%"",""No change"",""500–600%""]",1,"The body's energy demands roughly double or triple after a major burn, driving the hypermetabolic state that must be matched with adequate nutrition.",Burns & Trauma,🔥,true
58,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,Back of trunk burns are calculated as what percentage of TBSA using the Rule of Nines?,"[""9%"",""18%"",""27%"",""36%""]",1,"Like the front of the trunk, the back is also counted as 18% under the Rule of Nines.",Burns & Trauma,🔥,true
59,TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,CCN Curriculum,"For small or patchy burns, a quick estimate of surface area can be made using:","[""The patient's own palm ≈ 1% TBSA"",""The Rule of Nines only"",""Lund and Browder chart only in adults"",""No estimation method exists""]",0,The palm method is a convenient bedside estimate: the patient's own palm (including fingers) is roughly equal to 1% of their total body surface area.,Burns & Trauma,🔥,true
60,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,Inhalational injury is responsible for approximately what percentage of burns deaths?,"[""10%"",""50%"",""90%"",""100%""]",2,"Even though only around a third of burns patients have inhalation injury, it drives roughly 90% of burns deaths.",Burns & Trauma,🔥,true
61,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,Carbon monoxide is dangerous in burns patients because it:,"[""Directly burns the lungs"",""Binds haemoglobin 240 times more strongly than oxygen"",""Causes immediate cardiac arrest"",""Has no significant effect""]",1,CO occupies the oxygen-carrying site on haemoglobin far more tightly than oxygen does.,Cardiovascular,🫀,true
62,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,A patient with an electrical burn should have cardiac monitoring for at least:,"[""2–4 hours"",""12 hours"",""24–48 hours"",""1 week""]",2,"Dangerous rhythms may not appear immediately, so monitoring continues even with an initially normal ECG.",Cardiovascular,🫀,true
63,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,Dark brown urine following an electrical burn most likely indicates:,"[""Dehydration only"",""Myoglobinuria from muscle breakdown"",""Urinary tract infection"",""Normal finding""]",1,"Damaged muscle releases myoglobin, filtered by the kidneys, turning urine dark and risking kidney injury if untreated.",Burns & Trauma,🔥,true
64,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,The correct first aid for a chemical burn is:,"[""Apply a neutralising agent immediately"",""Copious irrigation with water"",""Cover with a dry dressing only"",""Apply ice directly""]",1,Water dilutes and washes away the chemical; neutralisers generate extra heat and worsen the burn.,Burns & Trauma,🔥,true
65,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,Low voltage electrical injury (<1000V) mainly carries the risk of:,"[""Massive tissue destruction"",""Cardiac arrest with little tissue destruction"",""No risk at all"",""Guaranteed limb amputation""]",1,"Low voltage doesn't cook tissue the way high voltage does, but it can still disrupt the heart's normal rhythm and cause arrest.",Cardiovascular,🫀,true
66,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,Treatment for myoglobinuria after electrical injury includes double fluids plus:,"[""Mannitol and sodium bicarbonate"",""Insulin and glucose"",""Furosemide alone"",""No additional treatment needed""]",0,"Mannitol promotes urine flow (osmotic diuresis) and bicarbonate alkalinises the urine, both helping flush myoglobin out before it clogs the kidneys.",Burns & Trauma,🔥,true
67,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,Compartment syndrome following an electrical burn is treated with:,"[""Fasciotomy"",""Amputation immediately"",""Ice packs only"",""Compression bandaging""]",0,Cutting open the tight fascia (fasciotomy) relieves the dangerous pressure building up inside the swollen muscle compartment.,Burns & Trauma,🔥,true
68,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,Unique long-term complications of high-voltage electrical burns include:,"[""Cataracts and hearing loss"",""Improved vision"",""No lasting effects"",""Hair regrowth""]",0,"The electrical current can damage the lens of the eye and inner ear structures, causing cataracts and hearing loss well after the acute injury.",Burns & Trauma,🔥,true
69,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,The correct rewarming temperature range for frostbite is:,"[""20–25°C"",""38–42°C"",""50–60°C"",""Ice-cold water only""]",1,Warm (not hot) water in this range rewarms tissue effectively without causing additional thermal injury.,Burns & Trauma,🔥,true
70,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,Rubbing frozen tissue during frostbite management is:,"[""Recommended to restore circulation"",""Never done — it worsens tissue damage"",""Only done on the hands"",""Only done if pain-free""]",1,Ice crystals inside and around the cells make the tissue extremely fragile; rubbing causes further mechanical damage.,Burns & Trauma,🔥,true
71,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,Supraglottic inhalational injury is primarily caused by:,"[""Heat"",""Chemical irritants only"",""Carbon monoxide only"",""Bacterial infection""]",0,"Direct heat causes swelling above the vocal cords, which can progress to airway obstruction.",Burns & Trauma,🔥,true
72,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,Infraglottic inhalational injury is mainly caused by:,"[""Direct heat"",""Noxious chemical combustion products in smoke"",""Blunt trauma"",""Radiation exposure""]",1,"Chemicals carried in smoke reach below the vocal cords and injure the lower airway and lungs, potentially progressing to ARDS.",Burns & Trauma,🔥,true
73,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,Systemic carbon monoxide poisoning in burns patients is best treated with:,"[""Humidified 100% oxygen"",""Room air only"",""Bronchodilators alone"",""Antibiotics""]",0,High-concentration oxygen helps displace CO from haemoglobin faster than room air would.,Respiratory,🫁,true
74,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,High voltage electrical injury causes tissue damage mainly through:,"[""Electrothermal heating, cooking tissue from the inside"",""Direct mechanical trauma only"",""Chemical reaction with the skin"",""Freezing of the tissue""]",0,"Unlike low voltage, high voltage current generates enough heat as it passes through the body to cook tissue internally, like a microwave.",Burns & Trauma,🔥,true
75,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,Voltage above what threshold is classified as 'high voltage' in electrical burns?,"[""100V"",""1000V"",""10,000V"",""100,000V""]",1,"Voltage above 1000V is classified as high voltage, with a very different injury pattern (deep, deceptive tissue damage) compared to low voltage.",Burns & Trauma,🔥,true
76,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,Head elevation of 30–45° is recommended in inhalational injury management to:,"[""Improve appetite"",""Reduce airway oedema"",""Prevent pressure sores"",""Improve hearing""]",1,"Elevating the head helps reduce swelling around the airway, lowering the risk of obstruction.",Respiratory,🫁,true
77,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,Ventilation strategy for a patient with significant inhalational injury favours:,"[""High tidal volumes to maximise oxygenation"",""Low tidal volumes with permissive hypercapnia"",""No ventilatory support is needed"",""Maximum PEEP at all times""]",1,"Protecting the already-injured lung from further pressure damage is prioritised, even if it means tolerating a slightly higher CO2 level.",Respiratory,🫁,true
78,TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,CCN Curriculum,Chemical burns should NEVER be treated with a neutralising agent because:,"[""Neutralising agents are too expensive"",""The chemical reaction generates extra heat and worsens the burn"",""Neutralising agents are illegal"",""It has no real effect either way""]",1,"Mixing the neutraliser with the original chemical produces an exothermic reaction, adding a thermal burn on top of the chemical injury.",Burns & Trauma,🔥,true
79,TOPIC 5: ORTHOPAEDIC PATIENT — ICU MANAGEMENT,CCN Curriculum,The classic triad of fat embolism syndrome is:,"[""Fever, cough, chest pain"",""Confusion, dyspnoea, petechiae"",""Hypotension, tachycardia, pallor"",""Jaundice, ascites, confusion""]",1,"Fat droplets from fractured bone marrow travel to lungs, brain, and skin capillaries, causing this classic combination.",Cardiovascular,🫀,true
80,TOPIC 5: ORTHOPAEDIC PATIENT — ICU MANAGEMENT,CCN Curriculum,An SpO₂ below what value is generally used as an ICU admission threshold?,"[""95%"",""93%"",""90%"",""85%""]",2,"Below 90% signals inadequate oxygenation needing closer, higher-level care.",Shock & Haemorrhage,⚡,true
81,TOPIC 5: ORTHOPAEDIC PATIENT — ICU MANAGEMENT,CCN Curriculum,The 3 Ms of ICU management are:,"[""Monitoring, Medication, Movement"",""Manpower, Machine, Money"",""Mobility, Meals, Medication"",""Man, Machine, Method""]",1,"Staff, equipment, and funding all need to be present together for an ICU to function.",Shock & Haemorrhage,⚡,true
82,TOPIC 5: ORTHOPAEDIC PATIENT — ICU MANAGEMENT,CCN Curriculum,"To prevent pressure ulcers, a critically ill patient should be turned every:","[""30 minutes"",""1 hour"",""2 hours"",""6 hours""]",2,Regular 2-hourly turning relieves pressure before tissue damage develops.,"GI, Endocrine & Metabolic",🍽️,true
